placeid,population,autoroute,housing,est811111,est811112,est811113
19208,5498,0,17074,16,0,0
25200,4581,0,36079,0,0,0
26520,5471,0,4506,4,0,0
30296,7540,0,36473,32,0,0
34568,13908,0,36925,19,2,0
36750,11402,0,24796,27,2,1
41370,5400,0,12322,17,0,1
41912,7228,1,36875,14,0,0
44230,30224,0,30807,41,3,0
48152,5419,0,36037,6,0,0
52770,5366,0,8641,0,0,0
54030,9445,0,20955,37,3,0
55560,4433,0,72572,22,0,0
56400,30711,0,15222,31,0,0
58970,7922,0,6780,7,0,0
60050,14312,0,10564,16,0,0
60192,6862,0,36586,23,0,0
60720,13154,0,72631,33,5,0
60950,6334,0,5159,6,0,0
60960,4033,0,6456,11,0,0
63472,4648,0,71764,21,0,0
64460,4061,0,16208,8,1,1
66240,6097,0,72583,9,3,0
67218,12155,1,72168,22,0,0
67380,4228,0,71765,40,6,2
68030,7486,0,10898,7,0,0
68490,5765,0,72801,3,0,0
71070,21530,1,71832,43,5,0
73280,4917,1,5622,5,0,0
74220,4799,0,71751,5,3,0
74946,5402,0,10999,21,0,0
76990,4922,0,2752,0,0,0
79120,20512,0,36445,45,0,6
80460,12152,0,71720,36,2,3
81090,6432,0,72601,13,0,0
83190,10616,1,72523,17,0,3
85058,7026,0,95982,21,0,3
85960,4649,0,36759,10,0,0
86920,13935,0,36727,22,0,0
89640,20878,1,10477,41,0,0
90540,8835,0,5719,15,0,0
91810,6809,0,12235,24,3,0
93460,10858,0,71862,10,0,1
93700,13620,0,25118,33,0,3
95170,5637,0,71751,26,0,3
97375,7977,0,96034,32,1,0
97390,11012,0,71972,45,4,8
97760,9189,0,7207,22,0,3
98560,4878,0,65761,6,0,0
99580,7811,1,71851,12,0,0
100770,4283,0,989,6,0,0
102000,9232,0,11430,22,2,0
102035,13922,0,20765,51,0,0
102200,4036,0,5148,2,0,0
105115,5413,0,13558,28,0,0
105310,55085,1,72524,55,8,7
105358,7093,0,95410,42,1,1
113420,4022,0,10322,7,1,0
113640,5409,0,80481,28,2,0
116010,8225,0,5421,0,0,0
117490,9745,0,72152,12,0,0
